student_id,grade,gender,sleep_hours,sleep_quality,homework_hours,tests_per_week,extracurricular_hours,num_activities,screen_time_hours,commute_minutes,family_support,friend_support,teacher_support,self_rated_stress,burnout_score,high_burnout
83,12,Male,7.8,2,3.3,3,0.8,0,3.5,33.0,3,3,2.0,3,4,1
84,9,Female,7.1,4,1.4,0,12.0,1,3.8,15.0,4,2,5.0,3,3,0
85,9,Male,7.9,4,4.7,0,3.7,4,3.3,29.0,3,5,3.0,2,3,0
86,9,Female,7.4,3,0.6,1,7.4,4,4.6,32.0,5,3,3.0,1,1,0
87,11,Female,8.4,3,2.2,2,12.4,3,3.2,24.0,2,5,3.0,2,4,1
88,10,Female,7.2,2,1.9,1,7.3,3,6.9,11.0,5,3,3.0,2,3,0
89,9,Male,9.3,4,4.0,2,4.8,3,7.5,36.0,4,4,2.0,2,3,0
90,10,Female,7.7,5,1.1,3,8.9,6,3.3,35.0,4,4,4.0,2,3,0
91,9,Female,7.5,4,2.4,1,5.3,2,4.8,,4,2,4.0,1,3,0
92,11,Male,6.3,2,3.0,1,8.1,3,6.7,9.0,5,4,4.0,1,3,0
93,10,Male,8.2,4,2.7,4,5.2,2,3.5,2.0,5,4,3.0,3,2,0
94,10,Female,8.9,4,3.6,0,9.4,2,1.9,23.0,3,5,2.0,2,2,0
95,10,Male,8.3,4,3.6,4,0.4,2,6.6,36.0,4,3,3.0,2,4,1
96,11,Female,10.2,5,2.3,2,1.9,1,3.8,38.0,3,3,4.0,2,2,0
97,10,Female,9.5,2,2.6,1,0.4,2,3.6,31.0,2,4,4.0,3,4,1
98,9,Male,7.9,4,0.1,2,5.8,5,6.4,15.0,4,5,2.0,2,2,0
99,9,Female,7.9,3,2.1,1,0.0,1,5.3,10.0,4,3,4.0,2,2,0
100,12,Female,8.0,3,2.4,1,3.2,0,3.9,22.0,2,3,2.0,3,4,1
101,12,Male,6.5,3,3.0,3,1.6,1,3.3,22.0,4,3,3.0,2,3,0
102,11,Female,9.0,4,1.1,0,11.9,3,2.6,39.0,4,3,3.0,2,3,0
103,9,Male,8.6,2,2.4,1,2.0,1,5.6,15.0,3,4,2.0,3,3,0
104,12,Male,7.7,4,1.5,1,0.9,2,5.3,16.0,3,3,,4,3,0
105,12,Male,8.2,4,3.3,2,7.0,3,3.6,53.0,4,5,5.0,2,3,0
106,11,Male,9.6,4,1.6,0,12.7,0,5.9,45.0,5,4,5.0,1,2,0
107,10,Male,8.1,3,1.6,3,5.5,1,3.7,9.0,4,5,5.0,3,3,0
108,10,Nonbinary,7.8,3,3.6,1,5.8,2,5.7,44.0,4,2,4.0,3,4,1
109,9,Female,9.9,5,2.6,1,11.2,3,3.2,5.0,3,2,4.0,3,2,0
110,12,Female,8.5,3,4.3,4,9.5,2,6.8,15.0,3,5,3.0,3,4,1
111,10,Male,7.6,4,4.0,1,7.7,5,5.4,17.0,4,3,3.0,3,3,0
112,9,Male,8.2,4,1.2,3,3.7,1,4.0,,2,2,4.0,2,3,0
113,10,Female,8.2,4,3.9,1,7.8,0,3.6,31.0,4,4,5.0,3,2,0
114,11,Male,8.1,2,1.3,0,0.6,2,3.9,24.0,4,4,4.0,2,2,0
115,9,Female,6.7,3,2.7,1,3.5,5,3.6,31.0,4,4,2.0,4,3,0
116,12,Male,5.8,4,2.7,3,11.7,3,3.1,16.0,4,4,4.0,4,3,0
117,11,Female,6.7,2,1.9,2,11.2,7,5.3,28.0,4,4,2.0,1,4,1
118,11,Female,6.6,4,3.4,4,7.7,0,4.0,23.0,3,4,3.0,4,4,1
119,10,Female,7.2,4,3.3,1,0.0,0,3.6,2.0,2,5,5.0,3,3,0
120,11,Female,8.4,3,3.7,2,1.2,4,3.6,29.0,4,4,2.0,2,3,0
121,11,Female,7.5,4,3.0,1,3.3,3,4.4,23.0,5,4,5.0,2,1,0
122,11,Female,7.9,2,2.9,1,5.3,2,4.1,11.0,5,4,4.0,3,2,0
123,9,Female,6.9,4,2.5,3,1.0,2,7.4,16.0,3,4,3.0,2,4,1
124,10,Female,7.4,5,2.7,2,5.0,1,5.4,16.0,3,3,3.0,3,3,0
125,9,Female,8.8,5,2.5,2,13.1,1,6.9,18.0,3,4,3.0,2,2,0
126,10,Female,8.6,4,2.6,2,7.6,0,2.9,48.0,3,4,3.0,2,4,1
127,10,Female,7.2,3,3.2,1,6.9,0,5.7,53.0,4,3,3.0,3,3,0
128,9,Female,8.4,3,0.4,0,1.9,1,3.1,2.0,5,3,3.0,2,2,0
129,9,Female,10.6,4,1.9,2,0.0,2,1.5,29.0,5,2,2.0,1,3,0
130,11,Female,7.7,4,1.4,4,1.1,0,7.6,36.0,3,1,3.0,3,3,0
131,9,Female,7.4,3,2.3,2,0.0,0,3.1,19.0,4,3,2.0,3,4,1
132,12,Male,7.3,4,4.8,2,6.3,3,0.8,36.0,4,4,2.0,3,3,0
133,11,Nonbinary,7.8,5,2.3,1,7.5,0,3.0,47.0,3,3,2.0,2,3,0
134,10,Male,7.8,4,2.5,3,2.1,1,0.9,2.0,3,5,5.0,3,2,0
135,11,Male,7.7,2,3.6,0,6.6,1,2.7,24.0,4,3,4.0,4,4,1
136,9,Male,6.6,2,0.0,3,11.9,3,3.5,51.0,5,5,4.0,3,2,0
137,12,Female,6.4,4,2.7,2,13.8,1,5.0,3.0,4,4,3.0,3,4,1
138,10,Male,7.8,4,2.8,0,9.1,2,0.8,20.0,3,5,4.0,2,2,0
139,12,Male,7.3,4,0.3,5,5.3,3,6.3,15.0,3,4,4.0,3,3,0
140,9,Male,7.6,3,1.0,2,9.0,1,1.2,38.0,2,2,4.0,3,3,0
141,10,Male,7.8,4,3.5,2,11.4,1,3.9,40.0,4,5,5.0,3,2,0
142,10,Female,8.0,4,3.4,2,0.0,4,3.5,24.0,4,5,3.0,3,2,0
143,12,Male,8.4,3,3.6,2,11.9,3,5.1,22.0,3,2,4.0,4,4,1
144,11,Male,7.6,3,3.7,3,3.8,1,4.8,2.0,1,4,4.0,3,4,1
145,10,Female,8.4,3,2.6,3,3.9,2,5.7,43.0,4,4,2.0,2,3,0
146,9,Male,7.6,5,2.6,1,4.6,4,3.7,17.0,3,4,3.0,3,2,0
147,10,Female,8.6,4,2.1,3,7.3,1,2.9,20.0,3,2,1.0,2,4,1
148,10,Nonbinary,8.4,4,2.5,2,1.6,1,4.4,37.0,3,3,3.0,2,3,0
149,10,Male,8.9,3,1.8,1,4.9,3,5.1,25.0,4,3,3.0,3,2,0
150,9,Female,9.0,3,3.3,3,8.1,3,4.7,37.0,3,5,3.0,2,3,0
151,12,Male,8.1,3,4.7,3,6.9,3,4.5,31.0,5,4,3.0,3,4,1
152,12,Female,7.3,4,4.6,2,7.5,2,,25.0,5,3,4.0,2,3,0
153,9,Male,8.5,3,1.6,1,4.7,1,3.6,27.0,3,3,2.0,2,3,0
154,11,Male,8.9,3,1.8,3,8.8,2,4.1,5.0,3,4,5.0,3,2,0
155,9,Male,7.5,4,3.3,1,10.2,1,7.6,20.0,4,4,4.0,4,3,0
156,11,Male,7.0,4,3.3,4,10.0,2,4.2,38.0,3,3,2.0,4,4,1
157,10,Female,8.1,5,2.7,1,7.7,1,3.4,,2,4,4.0,3,3,0
158,11,Female,8.2,4,2.2,3,9.8,2,3.2,11.0,5,3,4.0,3,3,0
159,11,Female,6.8,4,3.2,4,9.5,4,5.3,9.0,4,1,4.0,4,5,1
160,11,Female,7.6,4,1.7,1,16.7,4,0.8,24.0,3,4,2.0,2,4,1
161,9,Female,8.1,3,2.6,2,10.9,3,3.7,43.0,2,4,,3,3,0
162,12,Female,5.0,2,4.6,2,5.6,2,7.2,30.0,3,4,4.0,5,5,1
163,9,Female,8.0,3,3.6,1,2.4,1,3.2,2.0,3,3,2.0,2,3,0
164,9,Female,8.0,3,2.7,5,5.0,4,4.3,32.0,4,4,3.0,2,3,0
165,11,Male,7.5,4,1.4,0,4.7,1,7.7,15.0,1,4,,3,3,0
166,10,Female,9.5,4,2.6,4,8.0,1,3.6,30.0,3,3,3.0,2,3,0
167,12,Male,6.1,3,5.3,2,3.2,2,1.6,20.0,3,4,2.0,3,5,1
168,12,Female,6.5,1,2.3,2,10.8,1,2.6,9.0,3,2,3.0,3,5,1
169,10,Female,5.1,5,2.3,4,0.4,2,5.3,21.0,3,4,2.0,4,4,1
170,12,Male,6.9,3,4.6,4,0.0,4,3.4,15.0,4,4,3.0,4,4,1
171,10,Female,7.5,5,3.0,0,5.5,3,4.5,27.0,5,5,4.0,3,2,0
172,10,Female,7.4,2,4.9,2,2.6,1,3.9,9.0,3,3,,4,5,1
173,9,Male,9.4,3,1.3,2,1.0,3,5.0,5.0,3,3,3.0,3,2,0
174,12,Female,8.4,2,2.2,1,3.5,2,2.0,33.0,2,2,4.0,2,4,1
175,9,Female,8.3,4,3.2,3,3.0,3,3.5,39.0,3,3,2.0,3,4,1
176,9,Male,7.8,3,0.8,5,6.0,1,4.5,31.0,2,4,3.0,3,3,0
177,10,Female,9.1,3,2.2,2,3.5,3,3.9,12.0,5,2,2.0,1,3,0
178,12,Male,7.4,2,3.1,2,3.8,0,4.6,11.0,4,3,2.0,4,4,1
179,12,Female,6.5,4,4.2,1,6.0,2,1.0,12.0,5,4,3.0,3,3,0
180,11,Male,5.8,4,3.4,1,10.1,2,5.5,35.0,5,4,4.0,4,4,1
181,12,Male,7.0,5,3.7,3,11.9,0,4.4,10.0,3,4,2.0,3,4,1
182,12,Male,8.3,3,2.8,1,6.6,0,5.2,35.0,3,2,,3,4,1
183,10,Male,10.5,4,3.6,2,6.9,1,3.7,32.0,5,4,3.0,1,3,0
184,10,Female,8.0,3,6.4,2,5.3,0,4.4,41.0,4,4,2.0,4,3,0
185,12,Male,6.6,3,3.9,1,7.9,2,5.3,38.0,4,4,3.0,4,4,1
186,11,Female,6.4,3,2.9,2,7.6,1,7.1,30.0,5,4,4.0,2,3,0
187,10,Male,8.6,4,1.1,4,11.3,3,5.5,2.0,4,3,1.0,2,3,0
188,9,Male,6.3,4,1.4,0,0.0,2,5.5,31.0,4,3,5.0,3,2,0
189,11,Female,8.3,5,2.6,3,5.1,2,7.3,24.0,5,3,3.0,4,2,0
190,9,Male,9.1,3,1.5,5,7.4,5,2.3,16.0,4,5,2.0,3,2,0
191,12,Female,7.9,4,3.2,3,5.9,0,2.2,42.0,4,3,3.0,3,4,1
192,9,Male,8.0,4,3.8,1,2.2,2,4.0,20.0,3,4,4.0,2,3,0
193,9,Male,8.8,4,3.2,0,0.8,2,2.9,14.0,5,5,3.0,2,1,0
194,12,Female,7.6,3,3.0,5,9.2,2,0.5,39.0,3,5,4.0,3,4,1
195,9,Male,7.3,3,0.8,0,3.0,1,3.4,16.0,2,4,,2,2,0
196,9,Male,10.2,5,3.3,1,0.0,4,3.2,13.0,4,4,3.0,2,2,0
197,11,Female,7.3,4,2.8,4,9.4,4,4.3,5.0,3,4,5.0,4,3,0
198,12,Male,8.3,4,1.5,3,7.8,0,2.6,10.0,2,3,4.0,4,3,0
199,9,Female,5.5,3,2.7,1,5.5,2,5.6,11.0,5,3,3.0,4,3,0
200,10,Male,9.4,5,3.4,2,2.3,1,3.4,31.0,5,4,3.0,2,2,0
201,12,Female,9.1,5,0.8,1,5.5,4,4.5,7.0,3,4,3.0,1,2,0
202,12,Male,7.5,3,2.4,1,10.9,0,3.3,2.0,1,4,3.0,4,4,1
203,10,Male,8.6,4,2.3,0,0.0,2,5.0,27.0,4,5,4.0,3,1,0
204,9,Female,8.8,4,2.7,6,0.0,1,1.8,12.0,4,4,3.0,4,3,0
205,9,Female,7.5,4,1.5,0,3.5,1,3.5,22.0,4,4,2.0,2,2,0
206,9,Male,8.8,3,1.2,2,5.9,3,6.2,41.0,4,2,5.0,2,2,0
207,9,Male,7.3,4,2.7,1,4.0,5,2.8,,3,5,4.0,3,2,0
208,11,Female,7.0,5,2.3,2,8.6,4,3.5,45.0,3,3,2.0,4,4,1
209,9,Female,9.4,3,2.5,2,10.4,2,1.2,21.0,2,4,3.0,3,3,0
210,10,Female,9.0,3,1.3,3,7.1,2,2.1,37.0,3,3,4.0,2,3,0
211,11,Nonbinary,6.9,3,1.4,2,8.2,2,4.9,14.0,4,3,4.0,2,3,0
212,11,Female,6.9,3,3.6,1,7.1,1,5.8,24.0,4,3,3.0,5,4,1
213,9,Male,7.5,5,2.3,1,6.0,2,4.3,8.0,4,3,4.0,2,3,0
214,12,Female,8.3,5,4.1,3,0.8,6,3.3,10.0,2,1,3.0,3,4,1
215,11,Male,6.6,4,2.3,3,1.9,2,2.9,19.0,2,5,4.0,3,4,1
216,11,Female,8.1,3,2.0,2,0.6,1,2.8,2.0,3,4,2.0,2,3,0
217,9,Female,9.0,4,3.4,1,5.4,3,0.9,24.0,3,3,1.0,3,2,0
218,9,Male,8.1,3,0.5,3,6.9,0,5.1,17.0,4,4,2.0,3,2,0
219,12,Male,8.6,4,4.5,2,0.2,3,4.9,26.0,2,4,4.0,2,3,0
220,10,Female,7.6,4,3.7,0,6.3,3,4.2,2.0,5,3,3.0,2,3,0
221,10,Female,7.7,5,3.3,2,2.5,3,4.9,33.0,3,4,4.0,2,3,0
222,10,Female,6.9,3,1.7,2,1.7,2,6.1,47.0,5,5,4.0,3,2,0
223,11,Female,8.8,4,2.0,2,3.5,4,3.7,44.0,4,2,3.0,2,3,0
224,12,Female,6.6,3,3.0,3,1.5,1,7.1,51.0,3,4,3.0,3,4,1
225,10,Male,8.3,4,1.1,0,8.4,2,2.2,23.0,5,4,1.0,2,2,0
226,12,Female,7.4,2,2.2,3,5.3,3,3.8,17.0,4,5,2.0,2,3,0
227,9,Male,7.0,4,2.6,1,9.3,3,3.9,29.0,4,4,2.0,2,4,1
228,11,Female,7.0,3,3.4,1,4.2,2,5.6,18.0,4,3,4.0,2,4,1
229,11,Female,9.2,3,1.8,3,4.4,3,,2.0,4,3,3.0,2,2,0
230,9,Male,8.4,2,2.7,1,13.5,3,6.1,34.0,4,5,3.0,3,3,0
231,9,Female,7.1,3,2.5,0,0.0,2,5.4,18.0,3,3,,2,3,0
232,10,Male,8.3,5,3.9,2,11.1,4,6.6,2.0,3,4,2.0,3,3,0
233,12,Female,7.3,5,3.8,1,12.6,1,4.4,14.0,4,3,4.0,4,4,1
234,11,Male,11.0,5,3.9,3,9.1,1,1.3,19.0,4,5,3.0,1,2,0
235,12,Male,7.8,5,3.7,1,4.7,2,5.2,22.0,4,5,4.0,2,2,0
236,12,Male,7.0,3,4.2,0,11.7,2,6.2,22.0,4,4,1.0,3,5,1
237,10,Female,9.5,5,1.1,2,4.7,2,2.0,43.0,3,3,4.0,2,2,0
238,12,Female,5.4,3,3.1,2,3.2,2,2.4,3.0,3,3,3.0,3,4,1
239,9,Female,8.3,3,2.0,0,4.4,3,0.9,20.0,2,2,3.0,2,3,0
240,9,Male,10.4,4,1.8,1,3.7,5,3.0,9.0,4,4,5.0,1,2,0
241,12,Female,7.3,2,3.6,4,2.2,1,6.9,41.0,3,4,3.0,3,5,1
242,12,Female,5.5,4,3.8,1,10.4,3,3.4,14.0,3,3,4.0,4,4,1
243,9,Female,7.8,3,2.4,1,2.9,1,3.7,17.0,4,2,2.0,3,3,0
244,11,Female,9.3,3,2.6,1,5.9,3,2.7,38.0,4,4,3.0,2,3,0
245,11,Female,8.1,3,2.1,2,0.2,2,7.0,42.0,4,4,2.0,1,3,0
246,12,Female,6.5,3,4.3,3,6.1,2,8.5,44.0,3,4,3.0,4,5,1
247,11,Female,6.9,5,3.1,3,1.4,3,5.3,2.0,4,3,4.0,4,2,0
248,10,Male,7.3,5,1.4,0,1.3,4,5.9,29.0,3,4,4.0,2,2,0
249,10,Female,8.3,2,2.2,3,5.6,4,5.2,26.0,4,4,2.0,2,3,0
250,10,Female,9.4,4,0.7,3,10.2,2,1.1,21.0,5,4,3.0,1,2,0
251,11,Male,8.9,3,2.8,3,7.8,3,4.6,23.0,4,3,3.0,3,3,0
252,12,Male,8.0,4,3.0,2,8.0,1,2.4,41.0,3,5,3.0,3,3,0
253,10,Female,6.5,4,1.8,1,5.5,0,4.6,38.0,3,5,2.0,2,4,1
254,9,Male,6.7,3,3.6,1,4.7,0,6.6,35.0,5,4,1.0,2,3,0
255,9,Male,8.8,4,0.8,0,9.2,0,3.6,25.0,3,4,2.0,2,3,0
256,11,Male,6.2,3,3.5,3,3.7,1,6.8,56.0,4,4,3.0,4,4,1
257,12,Male,7.2,5,5.4,3,9.3,1,6.6,16.0,4,3,3.0,3,4,1
258,9,Male,8.5,4,3.1,1,10.9,0,0.9,2.0,4,3,4.0,2,3,0
259,9,Female,6.9,4,2.0,2,2.6,0,1.2,18.0,3,4,4.0,3,2,0
260,11,Female,6.6,1,1.7,4,3.2,1,6.7,23.0,3,5,3.0,3,4,1
261,9,Male,8.1,4,0.6,2,3.8,1,5.9,42.0,4,3,2.0,2,2,0
262,12,Nonbinary,8.0,5,2.8,0,0.1,2,4.4,14.0,4,5,4.0,3,2,0
263,10,Female,9.1,5,1.7,1,4.1,2,4.0,29.0,5,4,3.0,1,1,0
264,9,Female,8.9,2,1.3,4,11.2,6,4.9,2.0,2,4,3.0,3,3,0
265,12,Male,7.5,3,2.9,1,1.8,3,5.7,38.0,5,5,4.0,2,2,0
266,9,Female,7.4,3,1.9,0,11.3,3,3.9,23.0,3,5,4.0,2,3,0
267,10,Male,6.8,5,2.9,0,4.3,1,6.2,18.0,5,4,3.0,2,3,0
268,9,Male,7.6,4,0.8,1,14.5,2,3.7,54.0,3,5,3.0,3,3,0
269,9,Male,8.7,3,1.3,1,3.3,1,4.0,38.0,2,3,4.0,1,2,0
270,9,Male,8.6,4,1.8,0,5.4,2,4.0,6.0,2,3,3.0,2,3,0
271,9,Male,5.9,1,1.8,1,2.4,2,3.9,20.0,3,2,2.0,3,4,1
272,9,Male,7.3,3,3.8,4,3.2,6,3.2,63.0,4,3,3.0,4,3,0
273,9,Male,9.5,4,2.2,4,11.4,0,6.7,52.0,4,4,2.0,4,2,0
274,11,Male,7.8,4,1.2,1,7.9,3,2.7,,3,4,3.0,2,3,0
275,11,Male,6.1,2,3.2,3,10.1,2,5.7,2.0,5,5,3.0,4,4,1
276,10,Female,10.5,4,2.9,1,0.7,2,3.4,42.0,4,5,3.0,2,1,0
277,10,Male,7.9,4,2.3,3,8.6,3,4.0,12.0,4,4,3.0,3,2,0
278,10,Female,8.4,3,1.2,2,2.1,1,4.8,42.0,5,3,5.0,2,2,0
279,12,Male,7.9,4,5.0,2,0.7,2,4.6,11.0,4,5,4.0,2,2,0
280,12,Male,7.0,3,2.1,4,7.0,0,3.2,29.0,3,5,3.0,3,4,1
281,9,Female,7.4,5,2.7,2,6.9,3,5.2,12.0,4,4,3.0,3,4,1
282,9,Female,10.5,4,2.2,5,6.2,3,1.6,17.0,4,4,5.0,2,2,0
283,9,Female,9.3,4,2.6,2,8.9,3,6.0,31.0,4,4,3.0,3,2,0
284,9,Male,9.1,5,3.7,5,9.5,1,4.0,2.0,4,3,2.0,2,3,0
285,11,Female,8.3,3,3.4,2,11.9,1,2.7,58.0,5,3,3.0,3,4,1
286,10,Female,6.8,3,1.8,3,1.2,4,5.3,7.0,5,4,4.0,4,3,0
287,9,Male,9.6,4,3.1,3,12.0,2,1.6,6.0,3,4,4.0,2,3,0
288,10,Male,7.0,3,1.8,3,13.5,0,5.0,31.0,3,4,4.0,2,3,0
289,10,Female,8.3,4,2.6,1,4.5,2,3.5,41.0,4,4,2.0,1,2,0
290,9,Female,6.4,4,0.7,1,0.0,1,3.6,17.0,3,2,2.0,3,3,0
291,12,Male,5.2,2,2.2,2,0.5,4,4.3,6.0,4,2,3.0,4,4,1
292,9,Male,8.6,4,2.1,1,4.2,2,7.5,8.0,4,4,4.0,2,1,0
293,12,Male,6.6,4,3.6,1,14.1,3,,7.0,5,3,2.0,3,4,1
294,9,Female,6.0,2,0.3,0,6.1,0,4.5,27.0,5,3,1.0,1,3,0
